,ID,NAME,r ankle_X,r ankle_Y,r knee_X,r knee_Y,r hip_X,r hip_Y,l hip_X,l hip_Y,l knee_X,l knee_Y,l ankle_X,l ankle_Y,pelvis_X,pelvis_Y,thorax_X,thorax_Y,upper neck_X,upper neck_Y,head top_X,head top_Y,r wrist_X,r wrist_Y,r elbow_X,r elbow_Y,r shoulder_X,r shoulder_Y,l shoulder_X,l shoulder_Y,l elbow_X,l elbow_Y,l wrist_X,l wrist_Y,Scale,Activity,Category
9468,9469,066102706.jpg,480,651,560,557,437,395,374,401,464,618,-1,-1,406,398,494,249,492.0642,262.1037,508.9358,147.8963,657,412,618,345,545,241,443,257,414,343,495,457,3.4634087255188346,"bicycling, racing and road",bicycling
9469,9470,066144084.jpg,-1,-1,-1,-1,893,554,853,582,-1,-1,-1,-1,873,568,846,345,836.4951,316.9856,798.5049,205.0144,919,485,1000,407,875,334,816,356,864,428,862,503,3.547212990503954,"bicycling, racing and road",bicycling
9470,9471,084792416.jpg,658,493,656,397,610,323,682,325,700,421,701,521,646,324,694,257,689.0228,276.4564,709.9772,194.5436,658,405,645,351,663,254,724,259,756,314,786,355,2.536517297398147,"bicycling, racing and road",bicycling
9471,9472,075182639.jpg,458,707,464,562,460,412,408,408,412,553,400,694,434,410,434,234,444.2289,199.6764,468.7711,117.3236,524,426,488,339,479,234,389,234,389,317,416,424,2.5779619857554144,"bicycling, racing and road",bicycling
9472,9473,044968967.jpg,725,857,740,723,850,614,942,626,834,706,834,826,896,620,919,469,924.5535,504.172,904.4465,376.828,708,552,773,523,850,453,987,484,1007,626,918,672,3.86765044956237,"bicycling, mountain",bicycling
9473,9474,061285536.jpg,-1,-1,1071,1003,1049,680,1248,553,1245,761,1387,1059,1149,617,983,357,985.5533,365.0002,905.4467,113.9998,944,733,869,637,842,414,1124,299,1322,538,1335,718,7.904202426557661,"bicycling, mountain",bicycling
9474,9475,068828467.jpg,670,742,674,600,703,482,812,484,785,672,800,812,758,483,690,324,717.9845,331.4842,576.0155,293.5158,622,480,583,424,629,338,751,309,881,395,877,482,4.408754926280208,"bicycling, mountain",bicycling
9475,9476,051273647.jpg,576,537,576,420,655,352,641,369,506,470,641,554,648,361,479,220,457.0071,197.7038,355.9929,95.2962,434,381,516,304,499,198,458,242,446,381,393,427,4.315330810030674,"bicycling, mountain",bicycling
9476,9477,047565098.jpg,872,1051,856,907,931,777,1053,787,957,921,989,1049,992,782,990,493,989.4671,471.5765,985.5329,313.4235,832,734,872,651,915,526,1064,459,1083,329,1109,204,4.746056889671678,"bicycling, mountain",bicycling
9477,9478,064509745.jpg,1351,796,1283,561,1399,457,1496,426,1397,602,1496,757,1448,442,1312,291,1306.9752,280.7572,1239.0248,142.2428,1194,523,1233,433,1254,320,1370,262,1407,436,1303,564,4.628516825074745,"bicycling, mountain",bicycling
9478,9479,055747455.jpg,-1,-1,783,1062,432,786,733,798,-1,-1,-1,-1,583,792,834,406,837.6384,397.7693,994.3616,43.2307,308,445,283,119,618,317,1049,494,1177,749,1434,1028,11.629009244127376,"bicycling, racing and road",bicycling
9479,9480,064394231.jpg,-1,-1,-1,-1,426,1043,445,1031,-1,-1,-1,-1,436,1037,1067,701,1140.0882,627.9118,1431.9118,336.0882,-1,-1,525,938,978,699,1155,702,1257,1003,-1,-1,12.38102289796768,"bicycling, racing and road",bicycling
9480,9481,061285477.jpg,-1,-1,747,903,968,617,906,608,535,729,635,1068,937,613,592,355,602.3775,367.4897,468.6225,206.5103,496,694,608,573,688,331,496,378,434,555,296,712,6.27887888081941,"bicycling, racing and road",bicycling
